Transcription factor ID,Transcription factor name,Target ID,Target name
PA5261,AlgR,PA2523,czcR
PA5261,AlgR,PA1727,mucR
PA5261,AlgR,PA4396,PA4396
PA5261,AlgR,PA2189,PA2189
PA5261,AlgR,PA1736,PA1736
PA5261,AlgR,PA3763,purL
PA5261,AlgR,PA2867,PA2867
PA5261,AlgR,PA4550,fimU
PA5261,AlgR,PA3479,rhlA
PA5261,AlgR,PA1156,nrdA
PA5261,AlgR,nrdJ,nrdJ
PA5261,AlgR,PA0905,RsmA
PA5261,AlgR,PA3621.1,rsmZ
PA5261,AlgR,PA3472,PA3472
PA5261,AlgR,PA2193,hcnA
PA5261,AlgR,PA3540,algD
PA5261,AlgR,PA5078,opgG
PA5261,AlgR,PA2522,czcC
PA5261,AlgR,PA1048,PA1048
PA5261,AlgR,PA0499,PA0499
PA5261,AlgR,PA1106,PA1106
PA5261,AlgR,PA4552,pilW
PA5261,AlgR,PA4553,pilX
PA5261,AlgR,PA4554,pilY1
PA3385,AmrZ,PA4843,GcbA
PA3385,AmrZ,PA2867,PA2867
PA3385,AmrZ,PA1913,PA1913
PA3385,AmrZ,PA3691,PA3691
PA3385,AmrZ,PA5138,PA5138
PA3385,AmrZ,PA0171,PA0171
PA3385,AmrZ,PA4677,PA4677
PA3385,AmrZ,PA1097,fleQ
PA3385,AmrZ,PA0172,PA0172
PA3385,AmrZ,PA5167,PA5167
PA3385,AmrZ,PA0038,PA0038
PA3385,AmrZ,PA3722,PA3722
PA3385,AmrZ,PA1941,PA1941
PA3385,AmrZ,PA4324,PA4324
PA3385,AmrZ,PA0170,PA0170
PA3385,AmrZ,PA1680,PA1680
PA3385,AmrZ,PA5168,PA5168
PA3385,AmrZ,PA0938,PA0938
PA3385,AmrZ,PA1082,flgG
PA3385,AmrZ,PA1200,PA1200
PA3385,AmrZ,PA5169,PA5169
PA3385,AmrZ,PA1199,PA1199
PA3385,AmrZ,PA1132,PA1132
PA3385,AmrZ,PA4307,pctC
PA3385,AmrZ,PA4683,PA4683
PA3385,AmrZ,PA4306,flp
PA3385,AmrZ,PA4844,PA4844
PA3385,AmrZ,PA3367,PA3367
PA3385,AmrZ,PA1089,PA1089
PA3385,AmrZ,PA3951,PA3951
PA3385,AmrZ,PA3413,PA3413
PA3385,AmrZ,PA1331,PA1331
PA3385,AmrZ,PA4033,PA4033
PA3385,AmrZ,PA3353,PA3353
PA3385,AmrZ,PA4520,PA4520
PA3385,AmrZ,PA1088,PA1088
PA3385,AmrZ,PA1090,PA1090
PA3385,AmrZ,PA2567,PA2567
PA3385,AmrZ,PA1091,fgtA
PA3385,AmrZ,PA3627,ygbB
PA3385,AmrZ,PA1738,PA1738
PA3385,AmrZ,PA4639,PA4639
PA3385,AmrZ,PA3921,PA3921
PA3385,AmrZ,PA2282,PA2282
PA3385,AmrZ,PA2894,PA2894
PA3385,AmrZ,PA0248,PA0248
PA3385,AmrZ,PA3412,PA3412
PA3385,AmrZ,PA3435,PA3435
PA3385,AmrZ,PA1107,PA1107
PA3385,AmrZ,PA3436,PA3436
PA3385,AmrZ,PA0247,pobA
PA3385,AmrZ,PA3117,asd
PA3385,AmrZ,PA3280,oprO
PA3385,AmrZ,PA5242,ppk
PA3385,AmrZ,PA2076,PA2076
PA3385,AmrZ,PA4512,lpxO1
PA3385,AmrZ,PA3713,spdH
PA3385,AmrZ,PA0673,PA0673
PA3385,AmrZ,PA4367,bifA
PA3385,AmrZ,PA4300,tadC
PA3385,AmrZ,PA0347,glpQ
PA3385,AmrZ,PA4304,rcpA
PA3385,AmrZ,PA1739,PA1739
PA3385,AmrZ,PA0660,PA0660
PA3385,AmrZ,PA0252,PA0252
PA3385,AmrZ,PA1873,PA1873
PA3385,AmrZ,PA1646,PA1646
PA3385,AmrZ,PA2281,PA2281
PA3385,AmrZ,PA4297,tadG
PA3385,AmrZ,PA3835,PA3835
PA3385,AmrZ,PA4349,PA4349
PA3385,AmrZ,PA0661,PA0661
PA3385,AmrZ,PA4314,purU1
PA3385,AmrZ,PA5243,hemB
PA3385,AmrZ,PA5447,wbpZ
PA3385,AmrZ,PA4418,ftsI
PA3385,AmrZ,PA5450,wzt
PA3385,AmrZ,PA1014,PA1014
PA3385,AmrZ,PA3854,PA3854
PA3385,AmrZ,PA3366.1,amiL
PA3385,AmrZ,PA3276,PA3276
PA3385,AmrZ,PA2502,PA2502
PA3385,AmrZ,PA2285,PA2285
PA3385,AmrZ,PA4315,mvaT
PA3385,AmrZ,PA1736,PA1736
