from,to,type
PA5261,PA2523,1
PA5261,PA1727,1
PA5261,PA4396,1
PA5261,PA2189,1
PA5261,PA1736,-1
PA5261,PA3763,-1
PA5261,PA2867,1
PA5261,PA4550,1
PA5261,PA3479,1
PA5261,PA1156,1
PA5261,nrdJ,1
PA5261,PA0905,1
PA5261,PA3621.1,1
PA5261,PA3472,-1
PA5261,PA2193,1
PA5261,PA3540,1
PA5261,PA5078,1
PA5261,PA2522,0
PA5261,PA1048,0
PA5261,PA0499,0
PA5261,PA1106,1
PA5261,PA4552,1
PA5261,PA4553,1
PA5261,PA4554,1
PA3385,PA4843,1
PA3385,PA2867,1
PA3385,PA1913,1
PA3385,PA3691,1
PA3385,PA5138,1
PA3385,PA0171,1
PA3385,PA4677,1
PA3385,PA1097,1
PA3385,PA0172,1
PA3385,PA5167,1
PA3385,PA0038,1
PA3385,PA3722,1
PA3385,PA1941,1
PA3385,PA4324,1
PA3385,PA0170,1
PA3385,PA1680,1
PA3385,PA5168,1
PA3385,PA0938,1
PA3385,PA1082,1
PA3385,PA1200,1
PA3385,PA5169,1
PA3385,PA1199,1
PA3385,PA1132,1
PA3385,PA4307,1
PA3385,PA4683,1
PA3385,PA4306,1
PA3385,PA4844,1
PA3385,PA3367,1
PA3385,PA1089,1
PA3385,PA3951,1
PA3385,PA3413,1
PA3385,PA1331,1
PA3385,PA4033,1
PA3385,PA3353,1
PA3385,PA4520,1
PA3385,PA1088,1
PA3385,PA1090,1
PA3385,PA2567,1
PA3385,PA1091,1
PA3385,PA3627,1
PA3385,PA1738,1
PA3385,PA4639,1
PA3385,PA3921,1
PA3385,PA2282,1
PA3385,PA2894,1
PA3385,PA0248,1
PA3385,PA3412,1
PA3385,PA3435,1
PA3385,PA1107,1
PA3385,PA3436,1
PA3385,PA0247,1
PA3385,PA3117,1
PA3385,PA3280,1
PA3385,PA5242,1
PA3385,PA2076,1
PA3385,PA4512,1
PA3385,PA3713,1
PA3385,PA0673,1
PA3385,PA4367,1
PA3385,PA4300,1
PA3385,PA0347,1
PA3385,PA4304,1
PA3385,PA1739,1
PA3385,PA0660,1
PA3385,PA0252,1
PA3385,PA1873,1
PA3385,PA1646,1
PA3385,PA2281,1
PA3385,PA4297,1
PA3385,PA3835,1
PA3385,PA4349,1
PA3385,PA0661,1
PA3385,PA4314,1
PA3385,PA5243,1
PA3385,PA5447,1
PA3385,PA4418,-1
PA3385,PA5450,-1
PA3385,PA1014,-1
PA3385,PA3854,-1
PA3385,PA3366.1,-1
PA3385,PA3276,-1
PA3385,PA2502,-1
PA3385,PA2285,-1
PA3385,PA4315,-1
PA3385,PA1736,-1
PA3385,PA3032,-1
PA3385,PA1509,-1
PA3385,PA0195,-1
PA3385,PA1159,-1
PA3385,PA3177,-1
PA3385,PA0616,-1
PA3385,PA3818,-1
PA3385,PA4684,-1
PA3385,PA4060,-1
PA3385,PA1688,-1
PA3385,PA4350,-1
PA3385,PA2072,-1
PA3385,PA4058,-1
PA3385,PA2286,-1
PA3385,PA2774,-1
PA3385,PA0250,-1
PA3385,PA2227,-1
PA3385,PA4059,-1
PA3385,PA3103,-1
PA3385,PA0807,-1
PA3385,PA3096,-1
PA3385,PA3102,-1
PA3385,PA2283,-1
PA3385,PA4951,-1
PA3385,PA4154,-1
PA3385,PA3101,-1
PA3385,PA2685,-1
PA3385,PA3097,-1
PA3385,PA3099,-1
PA3385,PA3098,-1
PA3385,PA3100,-1
PA3385,PA3519,-1
PA3385,PA0674,-1
PA3385,PA4638,-1
PA3385,PA3540,-1
PA3385,PA0102,-1
PA3385,PA1784,-1
PA3385,PA3385,-1
PA3385,PA4980,1
PA3385,tssA2,-1
PA3385,tssB3,-1
PA3385,PA0082,-1
PA3385,adcA,-1
PA4101,PA4101,-1
PA4101,PA3477,-1
PA4101,PA4103,1
PA4101,PA4107,1
PA4101,PA0691,1
PA4101,PA4104,1
PA4101,PA4105,1
PA4101,PA4106,1
PA2588,PA2587,1
PA2588,PA2588,-1
PA2588,PA0845,0
PA2588,PA5324,0
PA2588,PA0162,0
PA2588,PA0440,0
PA2588,PA2611,0
PA2588,PA4285,0
PA2588,PA1271,0
PA2588,PA5146,0
PA2588,PA3834,0
PA2588,PA0159,0
PA2588,PA4541,0
PA2588,PA4807,0
PA2588,PA2612,0
PA2588,PA3992,0
PA2588,PA4210,-1
PA1713,PA1714,1
PA1713,PA1703,1
PA1713,PA3840,1
PA1713,PA0044,1
PA1713,PA1698,1
PA1713,PA1699,1
PA1713,PA1700,1
PA1713,PA1701,1
PA1713,PA1697,1
PA1713,PA1695,1
PA1713,PA1694,1
PA1713,PA1693,1
PA1713,PA1692,1
PA1713,PA1690,1
PA1713,PA1705,1
PA1713,PA1706,1
PA1713,PA1707,1
PA1713,PA1708,1
PA1713,PA1709,1
PA1713,PA1710,1
PA1713,PA1711,1
PA1713,PA1712,1
PA1713,PA1713,1
PA1713,PA2191,1
PA1713,PA3842,1
PA1713,PA3841,1
PA1713,PA1557,-1
PA1713,PA0179,1
PA1713,PA3149,0
PA1713,PA3159,0
PA1713,PA2967,-1
PA1713,PA3843,-1
PA2586,PA0683,-1
PA2586,PA0684,-1
PA2586,PA0686,-1
PA2586,PA0687,-1
PA2586,PA1287,-1
PA2586,PA1783,1
PA2586,PA2586,1
PA2586,PA2585,1
PA2586,PA3071,-1
PA2586,PA3074,-1
PA2586,PA0028,-1
PA2586,PA0073,1
PA2586,PA1712,-1
PA2586,PA2538,1
PA2586,PA1176,0
PA2586,PA5512,0
PA2586,PA2588,1
PA2586,PA3658,1
PA2586,PA0527.1,1
PA2586,PA3621.1,1
PA1430,PA1003,1
PA1430,PA1431,1
PA1430,PA1432,1
PA1430,PA2591,1
PA1430,PA3477,1
PA1430,PA3479,1
PA1430,PA3724,1
PA1430,PA3904,1
PA1430,PA4677,1
PA1430,PA0026,1
PA1430,PA0122,1
PA1430,PA0143,1
PA1430,PA0144,1
PA1430,PA0855,1
PA1430,PA0996,1
PA1430,PA1245,1
PA1430,PA1656,1
PA1430,PA2081,1
PA1430,PA2305,1
PA1430,PA2426,1
PA1430,PA2587,1
PA1430,PA2763,1
PA1430,PA2939,1
PA1430,PA3326,1
PA1430,PA3535,1
PA1430,PA4117,1
PA1430,PA4306,1
PA1430,PA0805,1
PA1430,PA1159,1
PA1430,PA2231,1
PA1430,PA3384,1
PA1430,PA5184,1
PA1430,PA2593,1
PA1430,PA3105,1
PA1430,PA3478,1
PA1430,PA3908,1
PA1430,PA0028,1
PA1430,PA1000,1
PA1430,PA1248,1
PA1430,PA2080,1
PA1430,PA2242,1
PA1430,PA0806,1
PA1430,PA3385,1
PA1430,PA2588,1
PA1430,PA2592,1
PA2492,PA1970,1
PA2492,PA2492,1
PA2492,PA2491,1
PA2492,PA2493,1
PA2492,PA2494,1
PA2492,PA2495,1
PA2492,PA2813,1
PA2492,PA3229,1
PA2492,PA4354,1
PA2492,PA4881,1
PA1003,PA0996,1
PA1003,PA0997,1
PA1003,PA0998,1
PA1003,PA1003,1
PA1003,PA3477,1
PA1003,PA1430,1
PA1003,PA1432,1
PA1003,PA1431,1
PA1003,PA3305.1,1
PA1003,PA1656,1
PA1003,hcpD,1
PA1003,PA3103,1
PA1003,PA3102,1
PA1003,PA2743,-1
PA1003,PA2742,-1
PA1003,PA0139,1
PA1003,PA0140,1
PA1003,PA0849,1
PA1003,PA0848,1
PA1003,PA0962,1
PA1003,phnAB,1
PA1898,PA1897,1
PA1898,PA5351,1
PA1898,PA3724,-1
PA1898,PA1899,-1
PA1898,PA4210,-1
PA1898,PA2193,1
PA2593,PA1430,-1
PA2593,PA3477,-1
PA3477,PA3479,1
PA3477,PA3478,1
PA3477,PA3477,1
PA3477,PA3476,1
PA3477,PA2193,1
PA3477,PA2570,1
PA3477,phzA,1
PA4462,PA1432,1
PA4462,PA3476,1
PA4462,PA3479,-1
PA4462,PA3477,-1
PA4462,pasA,1
PA4462,PA2587,1
PA4462,PA0996,1
PA4462,PA1003,1
PA4462,PA1512,1
PA4462,PA5267,1
PA4462,PA0022,-1
PA4462,PA0102,-1
PA4462,PA0195,-1
PA4462,PA0291,1
PA4462,PA0328,1
PA4462,PA0447,-1
PA4462,PA0602,1
PA4462,PA0737,-1
PA4462,PA0910,-1
PA4462,PA0958,1
PA4462,PA1074,1
PA4462,PA1077,1
PA4462,PA1078,1
PA4462,PA1079,1
PA4462,PA1080,1
PA4462,PA1081,1
PA4462,PA1082,1
PA4462,PA1094,1
PA4462,PA1098,1
PA4462,PA1099,1
PA4462,PA1100,1
PA4462,PA1101,1
PA4462,PA1102,1
PA4462,PA1103,1
PA4462,PA1104,1
PA4462,PA1105,1
PA4462,PA1177,-1
PA4462,PA1175,-1
PA4462,PA1174,-1
PA4462,PA1183,1
PA4462,PA1196,-1
PA4462,PA1343,-1
PA4462,PA1342,1
PA4462,PA1441,1
PA4462,PA1442,1
PA4462,PA1444,1
PA4462,PA1452,1
PA4462,PA1507,-1
PA4462,PA1566,1
PA4462,PA1604,-1
PA4462,PA1656,1
PA4462,PA1736,-1
PA4462,PA1737,-1
PA4462,PA1967,1
PA4462,PA2004,1
PA4462,PA2009,1
PA4462,PA2042,1
PA4462,PA2073,1
PA4462,PA2114,1
