id,name,expression,weight
adcA,adcA,-1,5
hcpD,hcpD,1,5
nrdJ,nrdJ,1,5
PA0022,PA0022,-1,5
PA0026,plcB,1,5
PA0028,PA0028,1,5
PA0038,PA0038,1,5
PA0044,exoT,1,5
PA0073,tagT1,1,5
PA0081,fhA1,-1,5
PA0082,tssA1,-1,5
PA0102,PA0102,-1,5
PA0122,rahU,1,5
PA0139,ahpC,1,5
PA0140,ahpF,1,5
PA0143,nuh,1,5
PA0144,PA0144,1,5
PA0159,PA0159,0,5
PA0162,opdC,0,5
PA0170,PA0170,1,5
PA0171,PA0171,1,5
PA0172,PA0172,1,5
PA0179,PA0179,1,5
PA0195,pntAA,-1,5
PA0247,pobA,1,5
PA0248,PA0248,1,5
PA0250,PA0250,-1,5
PA0252,PA0252,1,5
PA0277,PA0277,0,5
PA0291,oprE,1,5
PA0322,PA0322,0,5
PA0328,aaaA,1,5
PA0347,glpQ,1,5
PA0440,PA0440,0,5
PA0447,gcdH,-1,5
PA0499,PA0499,0,5
PA0527.1,rsmY,1,5
PA0602,PA0602,1,5
PA0616,PA0616,-1,5
PA0630,PA0630,-1,5
PA0637,PA0637,-1,5
PA0660,PA0660,1,5
PA0661,PA0661,1,5
PA0673,PA0673,1,5
PA0674,vreA,-1,5
PA0683,hxcY,-1,5
PA0684,hxcZ,-1,5
PA0686,hxcR,-1,5
PA0687,hxcS,-1,5
PA0691,phdA,1,5
PA0737,PA0737,-1,5
PA0763,mucA,1,5
PA0805,PA0805,1,5
PA0806,PA0806,1,5
PA0807,ampDh3,-1,5
PA0845,cerN,0,5
PA0848,ahpB,1,5
PA0849,trxB2,1,5
PA0855,PA0855,1,5
PA0905,RsmA,1,10
PA0910,alpD,-1,5
PA0938,PA0938,1,5
PA0958,oprD,1,5
PA0962,dps,1,5
PA0996,pqsA,1,5
PA0997,pqsB,1,5
PA0998,pqsC,1,5
PA1000,pqsE,1,5
PA1003,MvfR,1,10
PA1014,PA1014,-1,5
PA1048,PA1048,0,5
PA1074,braC,1,5
PA1077,flgB,1,5
PA1078,flgC,1,5
PA1079,flgD,1,5
PA1080,flgE,1,5
PA1081,flgF,1,5
PA1082,flgG,1,5
PA1088,PA1088,1,5
PA1089,PA1089,1,5
PA1090,PA1090,1,5
PA1091,fgtA,1,5
PA1094,fliD,1,5
PA1097,fleQ,1,5
PA1098,fleS,1,5
PA1099,fleR,1,5
PA1100,fliE,1,5
PA1101,fliF,1,5
PA1102,fliG,1,5
PA1103,PA1103,1,5
PA1104,fliI,1,5
PA1105,fliJ,1,5
PA1106,PA1106,1,5
PA1107,PA1107,1,5
PA1132,PA1132,1,5
PA1156,nrdA,1,5
PA1159,PA1159,1,5
PA1174,napA,-1,5
PA1175,napD,-1,5
PA1176,napF,0,5
PA1177,napE,-1,5
PA1183,dctA,1,5
PA1196,ddaR,-1,5
PA1199,PA1199,1,5
PA1200,PA1200,1,5
PA1245,aprX,1,5
PA1248,aprF,1,5
PA1271,PA1271,0,5
PA1287,PA1287,-1,5
PA1331,PA1331,1,5
PA1342,aatJ,1,5
PA1343,PA1343,-1,5
PA1430,LasR,1,10
PA1431,RsaL,1,10
PA1432,lasI,1,5
PA1441,PA1441,1,5
PA1442,PA1442,1,5
PA1444,fliN,1,5
PA1452,flhA,1,5
PA1507,PA1507,-1,5
PA1509,PA1509,-1,5
PA1512,hcpA,1,5
PA1555,ccoP2,1,5
PA1556,ccoO2,1,5
PA1557,ccoN2,1,5
PA1566,pauA3,1,5
PA1604,PA1604,-1,5
PA1646,PA1646,1,5
PA1656,hsiA2,1,5
PA1665,fha2,1,5
PA1680,PA1680,1,5
PA1688,PA1688,-1,5
PA1690,pscU,1,5
PA1692,PA1692,1,5
PA1693,pscR,1,5
PA1694,pscQ,1,5
PA1695,pscP,1,5
PA1697,PA1697,1,5
PA1698,popN,1,5
PA1699,pcr1,1,5
PA1700,pcr2,1,5
PA1701,pcr3,1,5
PA1703,pcrD,1,5
PA1705,pcrG,1,5
PA1706,pcrV,1,5
PA1707,pcrH,1,5
PA1708,popB,1,5
PA1709,popD,1,5
PA1710,exsC,1,5
PA1711,exsE,1,5
PA1712,exsB,1,5
PA1713,ExsA,1,10
PA1714,exsD,1,5
PA1727,mucR,1,5
PA1736,PA1736,-1,5
PA1737,PA1737,-1,5
PA1738,PA1738,1,5
PA1739,PA1739,1,5
PA1783,nasA,1,5
PA1784,PA1784,-1,5
PA1873,PA1873,1,5
PA1897,PA1897,1,5
PA1898,QscR,-1,10
PA1899,phzA2,1,5
PA1913,PA1913,1,5
PA1941,PA1941,1,5
PA1967,PA1967,1,5
PA1970,PA1970,1,5
PA2004,PA2004,1,5
PA2009,hmgA,1,5
PA2042,PA2042,1,5
PA2072,PA2072,-1,5
PA2073,PA2073,1,5
PA2076,PA2076,1,5
PA2080,kynU,1,5
PA2081,kynB,1,5
PA2113,opdO,1,5
PA2114,PA2114,1,5
